Date,Service,Region,Cost,UsageType
2026-04-20,AmazonEC2,ap-south-1,12.50,BoxUsage:t3.medium
2026-04-20,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-20,AmazonS3,us-east-1,1.80,TimedStorage-ByteHrs
2026-04-20,AWSDataTransfer,ap-south-1,0.80,DataTransfer-Out-Bytes
2026-04-21,AmazonEC2,ap-south-1,12.80,BoxUsage:t3.medium
2026-04-21,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-21,AmazonS3,us-east-1,1.90,TimedStorage-ByteHrs
2026-04-21,AWSDataTransfer,ap-south-1,0.90,DataTransfer-Out-Bytes
2026-04-22,AmazonEC2,ap-south-1,12.60,BoxUsage:t3.medium
2026-04-22,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-22,AmazonS3,us-east-1,1.80,TimedStorage-ByteHrs
2026-04-22,AWSDataTransfer,ap-south-1,0.85,DataTransfer-Out-Bytes
2026-04-23,AmazonEC2,ap-south-1,12.70,BoxUsage:t3.medium
2026-04-23,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-23,AmazonS3,us-east-1,1.85,TimedStorage-ByteHrs
2026-04-23,AWSDataTransfer,ap-south-1,0.80,DataTransfer-Out-Bytes
2026-04-24,AmazonEC2,ap-south-1,12.90,BoxUsage:t3.medium
2026-04-24,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-24,AmazonS3,us-east-1,1.75,TimedStorage-ByteHrs
2026-04-24,AWSDataTransfer,ap-south-1,0.95,DataTransfer-Out-Bytes
2026-04-25,AmazonEC2,ap-south-1,12.40,BoxUsage:t3.medium
2026-04-25,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-25,AmazonS3,us-east-1,1.80,TimedStorage-ByteHrs
2026-04-25,AWSDataTransfer,ap-south-1,0.88,DataTransfer-Out-Bytes
2026-04-26,AmazonEC2,ap-south-1,12.60,BoxUsage:t3.medium
2026-04-26,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-26,AmazonS3,us-east-1,1.82,TimedStorage-ByteHrs
2026-04-26,AWSDataTransfer,ap-south-1,0.82,DataTransfer-Out-Bytes
2026-04-27,AmazonEC2,ap-south-1,21.50,BoxUsage:t3.large
2026-04-27,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-27,AmazonS3,us-east-1,2.10,TimedStorage-ByteHrs
2026-04-27,AWSDataTransfer,ap-south-1,1.80,DataTransfer-Out-Bytes
2026-04-27,AWSLambda,us-east-1,3.40,Lambda-GB-Second
2026-04-28,AmazonEC2,ap-south-1,24.80,BoxUsage:t3.large
2026-04-28,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-28,AmazonS3,us-east-1,2.20,TimedStorage-ByteHrs
2026-04-28,AWSDataTransfer,ap-south-1,2.10,DataTransfer-Out-Bytes
2026-04-28,AWSLambda,us-east-1,4.20,Lambda-GB-Second
2026-04-29,AmazonEC2,ap-south-1,26.30,BoxUsage:t3.large
2026-04-29,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-29,AmazonS3,us-east-1,2.40,TimedStorage-ByteHrs
2026-04-29,AWSDataTransfer,ap-south-1,2.40,DataTransfer-Out-Bytes
2026-04-29,AWSLambda,us-east-1,4.80,Lambda-GB-Second
2026-04-30,AmazonEC2,ap-south-1,25.90,BoxUsage:t3.large
2026-04-30,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-04-30,AmazonS3,us-east-1,2.30,TimedStorage-ByteHrs
2026-04-30,AWSDataTransfer,ap-south-1,2.35,DataTransfer-Out-Bytes
2026-04-30,AWSLambda,us-east-1,4.60,Lambda-GB-Second
2026-05-01,AmazonEC2,ap-south-1,25.50,BoxUsage:t3.large
2026-05-01,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-05-01,AmazonS3,us-east-1,2.25,TimedStorage-ByteHrs
2026-05-01,AWSDataTransfer,ap-south-1,2.20,DataTransfer-Out-Bytes
2026-05-01,AWSLambda,us-east-1,4.40,Lambda-GB-Second
2026-05-02,AmazonEC2,ap-south-1,26.10,BoxUsage:t3.large
2026-05-02,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-05-02,AmazonS3,us-east-1,2.35,TimedStorage-ByteHrs
2026-05-02,AWSDataTransfer,ap-south-1,2.30,DataTransfer-Out-Bytes
2026-05-02,AWSLambda,us-east-1,4.50,Lambda-GB-Second
2026-05-03,AmazonEC2,ap-south-1,24.70,BoxUsage:t3.large
2026-05-03,AmazonRDS,ap-south-1,6.20,InstanceUsage:db.t3.micro
2026-05-03,AmazonS3,us-east-1,2.20,TimedStorage-ByteHrs
2026-05-03,AWSDataTransfer,ap-south-1,2.25,DataTransfer-Out-Bytes
2026-05-03,AWSLambda,us-east-1,4.30,Lambda-GB-Second
